name,Background,Hat,Hair,Glove,Sunglasses,UpperClothes,Dress,Coat,Socks,Pants,Jumpsuits,Scarf,Skirt,Face,Left-arm,Right-arm,Left-leg,Right-leg,Left-shoe,Right-shoe
101575_1253774,0.5070202808112324,,0.6631016042780749,,,,,0.38654033041788144,,,,,,0.785140562248996,,,,0.0,,
10176_451458,0.6927311538029435,,0.8191056910569106,,,,,0.0,,0.3600273785078713,,,,0.8359486447931527,0.021596858638743454,,,,,
101820_436403,0.9655641442457619,,0.8976644130301168,,,0.9156301513562116,,,,,,,0.2667445482866044,0.6736842105263158,0.0,0.4788893115252948,0.8826002587322122,0.8478260869565217,0.0,0.3193315266485998
101842_523209,0.8811661561212634,,0.8716356107660456,,,0.7980689655172414,,,0.6266375545851528,0.8988657844990549,,,,0.9215070643642073,,0.8434925864909391,0.7966666666666666,0.7600827300930714,0.657563025210084,0.6303030303030303
101877_480032,0.8028936031862147,,0.8674145843957165,,,0.04788371098760154,,,,,,,,0.9241405082212257,0.8446443172526574,0.8944099378881988,,,,
101960_1739095,0.9281999575461686,0.425531914893617,0.3942307692307692,,,0.2423097679438748,,,,,,,,0.0,0.1566265060240964,0.4374495560936239,0.07707910750507099,0.0,0.007537688442211055,0.0
101978_438710,0.9478528570979801,,0.9089806599859578,,,,,0.0,,0.8654157980078758,,,,0.6315581854043393,0.48542528735632184,0.13889988128215275,,,,
102030_228282,0.804756565050721,0.06433957674531744,0.0,,,,,0.4042804959613109,,0.4773936170212766,,,,,0.012275731822474031,0.0,,,0.4470854555744199,0.314410480349345
102076_513685,0.9077263390741034,,0.6604790419161677,,,0.17483769867920304,,,,0.781010719754977,,,,0.4127272727272727,0.5452865064695009,,0.8063623789764869,0.8955418158151643,,
102090_218913,0.9294323683939425,,0.0,,,0.01537470820252757,,0.0,,0.9149142102947646,,,,0.745398773006135,0.8403908794788274,0.8763350196739741,,,0.7064327485380117,0.6532593619972261
102116_421687,0.9464960895012172,0.8855685131195336,,,,0.9092509603072984,,,,0.8426763110307414,,,,0.7791666666666667,0.7402964008468595,0.8112820512820513,0.8404539385847797,0.644474034620506,0.8032967032967033,0.5100436681222708
102220_422763,0.7231570512820513,,0.7996240601503759,,,0.8997760066677085,,,,0.14673191771731917,,,,0.9214849583955622,0.796771523178808,0.6288343558282209,0.5434670781893004,0.0,,
102225_1233826,0.9393616265017417,0.6870967741935484,,,,,,0.6753375041159039,,0.5605326876513317,,,,0.5766129032258065,0.0,0.4012738853503185,0.0,0.0,0.07333333333333333,0.3782722513089005
10230_473553,0.9035542223434233,0.5798462852263023,,,,0.9566282976262599,,,,0.7988719548781952,,,,0.6512067156348373,0.4656671664167916,0.6732203389830509,,,,
102349_900100102349,0.9190373426173216,0.02288329519450801,,,,,,0.20722773888979326,,0.33614579817752277,,,,0.3855633802816901,0.013089005235602094,,,,0.0,0.0
102405_475787,0.8666483742625875,,0.8701500258665287,,,0.5623229461756374,,,0.0,0.8898933704218822,,,,,0.03125,0.0,0.42314141978759084,0.47962867457452296,0.023112480739599383,0.3879310344827586
102432_2153643,0.924483813408106,,0.6852409638554217,,,0.35363280072354536,,,,0.13927517909818796,,,,0.6899641577060932,0.3622448979591837,0.0060569351907934586,0.0,0.09618573797678276,,
102461_1207861,0.33115268873479,0.6795580110497238,,,,,,0.14629948364888123,,0.323367995378394,,,,0.7480314960629921,,,,,,0.12952799121844127
102550_1742423,0.7009164322656746,,0.7952746509685374,,,0.6120384420839656,,,,,,,,0.7704918032786885,0.9316859809712765,0.5870895937673901,,,,
102555_198193,0.9088741492174969,0.7819905213270142,0.4769503546099291,,,0.9254763769250849,,,,0.8354999752854531,,,,0.8557969913387024,0.27687954729183506,0.930894742454943,0.015312791783380018,0.7696785623892686,0.4133611691022965,0.48320199087515553
102588_1250988,0.9328809094293159,0.8206806282722513,,,,,,,,,0.0,,,0.7261373773416593,0.0,0.07229647630619684,0.0,0.0,0.19519519519519518,0.0
102655_900100102655,0.914654260943117,0.07046070460704607,,,,,,0.0,,,,,,0.19263157894736843,,,,,,
102684_422804,0.8786326470298492,0.27615780445969124,0.0,,0.3094262295081967,0.0,,,,0.8818524690816595,,,,0.5818181818181818,0.0,0.0,,,0.5794234030525721,0.3083778966131907
10275_558741,0.8766433918349374,,0.9021237303785781,,,,,0.3916298865069357,,,,,,0.8870636550308009,0.09994426899498421,0.0003348401138456387,,,,
102771_443055,0.875723998992697,,0.6988304093567251,,,,,0.6336473358846041,,0.9187530091478093,,,,0.756007393715342,0.0,0.0,,,0.39634574841883347,0.5161887141535615
102787_495805,0.8380133485659311,0.6535714285714286,,0.46618106139438087,0.04225352112676056,,,0.4707055597107953,,,0.0,,,0.46177847113884557,0.0,0.0,,,,
10321_1256012,0.8213318185790439,0.7138755980861244,,,,,,0.0,,0.6938428874734607,,,,0.7597560975609756,0.2912442396313364,0.6213592233009708,,,,0.6026871401151631
